time t,actual price at t,expected price at t + 3,actual price at t + 3,delta at t,expected delta at t+3,actual delta at t + 3,spot at t,expected spot at t+3,actual spot at t + 3,time t + 3,trade pnl,    , Total PnL:
"01/12/2020, 09:15:04",68.26857142857142,62.555374846902026,66.65,-0.123662263672486,-0.123662263672486,-0.122992813453493,29720.7,46.200000000004366,29688.6,"01/12/2020, 09:15:07",0.9358857142856999,    ,-984.9599897891769
"01/12/2020, 09:15:05",68.3,73.18018569171826,68.36377551020408,-0.12355595085864479,-0.12323701241712115,-0.1248470260634349,29707.5,-39.60000000000218,29694.1,"01/12/2020, 09:15:08",-0.6192244897959186
"01/12/2020, 09:15:06",66.05,74.86220660405942,68.36377551020408,-0.12270175047888188,-0.12013914933959313,-0.1248470260634349,29683.05,-73.35000000000218,29696.45,"01/12/2020, 09:15:09",1.6532755102040815,   ,positive:,1023
"01/12/2020, 09:15:07",66.65,64.58763106041779,72.02142857142857,-0.122992813453493,-0.12386600237732637,-0.12861489890383382,29688.6,16.649999999997817,29688.1,"01/12/2020, 09:15:10",-4.7049285714285665,   ,negative:,2427
"01/12/2020, 09:15:08",68.36377551020408,66.21201605596528,72.02142857142857,-0.1248470260634349,-0.13040966389326059,-0.12861489890383382,29694.1,16.5,29684.8,"01/12/2020, 09:15:11",-2.974015306122453
"01/12/2020, 09:15:09",68.36377551020408,67.48360397645604,68.5,-0.1248470260634349,-0.1248470260634349,-0.12331224588706391,29696.45,7.050000000006548,29715.0,"01/12/2020, 09:15:12",0.5474132653061193,   ,EPAP:,1011
"01/12/2020, 09:15:10",72.02142857142857,75.5263874329265,66.214,-0.12861489890383382,-0.1399185174250306,-0.12051123313767675,29688.1,-25.05000000000655,29719.4,"01/12/2020, 09:15:13",-6.527642857142859,   ,EPAL:,715
"01/12/2020, 09:15:11",72.02142857142857,73.29471607057624,66.214,-0.12861489890383382,-0.12861489890383382,-0.12051123313767675,29684.8,-9.899999999997817,29696.75,"01/12/2020, 09:15:14",-6.527642857142859,   ,ELAP:,657
"01/12/2020, 09:15:12",68.5,58.76917161258984,68.1,-0.12331224588706391,-0.10740428683675418,-0.12432628845999716,29715.0,90.60000000000218,29691.35,"01/12/2020, 09:15:15",-0.28499999999999437,   ,ELAL:,1067
"01/12/2020, 09:15:13",66.214,64.73417182745791,69.85,-0.12051123313767675,-0.11210819488951529,-0.12758777684211964,29719.4,13.200000000004366,29667.65,"01/12/2020, 09:15:16",-2.9738599999999957
"01/12/2020, 09:15:14",66.214,74.40273829170566,75.0,-0.12051123313767675,-0.12051123313767675,-0.13281783353704668,29696.75,-67.95000000000437,29666.15,"01/12/2020, 09:15:17",8.12386
"01/12/2020, 09:15:15",68.1,70.29949756171732,73.55,-0.12432628845999716,-0.13577145442695837,-0.13083639271371794,29691.35,-16.200000000004366,29674.85,"01/12/2020, 09:15:18",4.769000000000003
"01/12/2020, 09:15:16",69.85,79.61716640538023,75.9,-0.12758777684211964,-0.13737224198848708,-0.1332168925955557,29667.65,-71.09999999999127,29673.45,"01/12/2020, 09:15:19",5.351500000000011
"01/12/2020, 09:15:18",73.55,70.2903169666397,78.55555555555554,-0.13083639271371794,-0.12489207024373172,-0.13823559510228733,29674.85,26.09999999999127,29614.3,"01/12/2020, 09:15:21",-4.270055555555546
"01/12/2020, 09:15:20",78.55555555555554,95.96182838833941,84.5,-0.13823559510228733,-0.15329170262248226,-0.14448673932747624,29635.6,-113.55000000000655,29626.35,"01/12/2020, 09:15:23",5.158888888888901
"01/12/2020, 09:15:21",78.55555555555554,87.3888100825914,79.95,-0.13823559510228733,-0.13823559510228733,-0.13861579363947385,29614.3,-63.89999999999782,29650.2,"01/12/2020, 09:15:24",0.6088888888889045
"01/12/2020, 09:15:22",83.6,76.76579536805113,78.38455882352943,-0.14350306364576682,-0.15930546927620526,-0.13740874369432277,29628.6,42.89999999999782,29645.3,"01/12/2020, 09:15:25",4.3794411764705625
"01/12/2020, 09:15:23",84.5,85.49520492301508,78.38455882352943,-0.14448673932747624,-0.14743776637260453,-0.13740874369432277,29626.35,-6.75,29653.3,"01/12/2020, 09:15:26",-6.960441176470568
"01/12/2020, 09:15:24",79.95,71.29223845702457,76.73984375,-0.13861579363947385,-0.12100295657546667,-0.13460400235771885,29650.2,71.55000000000655,29661.8,"01/12/2020, 09:15:27",2.410656249999997
"01/12/2020, 09:15:25",78.38455882352943,80.3512364532554,76.73984375,-0.13740874369432277,-0.1337875938588695,-0.13460400235771885,29645.3,-14.700000000004366,29670.5,"01/12/2020, 09:15:28",-2.4285606617647204
"01/12/2020, 09:15:26",78.38455882352943,75.08674897486569,73.05,-0.13740874369432277,-0.13740874369432277,-0.1301872216799893,29653.3,24.0,29677.3,"01/12/2020, 09:15:29",4.55071323529414
"01/12/2020, 09:15:27",76.73984375,73.52200440212837,71.6,-0.13460400235771885,-0.12618977834790712,-0.1279688498016185,29661.8,25.5,29689.7,"01/12/2020, 09:15:30",4.372445312500012
"01/12/2020, 09:15:28",76.73984375,73.22667928846325,73.75,-0.13460400235771885,-0.13460400235771885,-0.13040632240972627,29670.5,26.100000000002183,29684.7,"01/12/2020, 09:15:31",2.222445312500006
"01/12/2020, 09:15:29",73.05,70.66448765520552,73.3,-0.1301872216799893,-0.11693687964680066,-0.12984176855752594,29677.3,20.399999999997817,29686.65,"01/12/2020, 09:15:32",0.48050000000000004
"01/12/2020, 09:15:30",71.6,67.08712908900544,75.84390243902439,-0.1279688498016185,-0.12131373416650604,-0.13260136115604837,29689.7,37.200000000004366,29676.2,"01/12/2020, 09:15:33",-3.5279024390243956
"01/12/2020, 09:15:31",73.75,75.81578110351074,75.84390243902439,-0.13040632240972627,-0.13771874023404962,-0.13260136115604837,29684.7,-15.0,29670.85,"01/12/2020, 09:15:34",1.35640243902439
"01/12/2020, 09:15:32",73.3,72.5503335740443,79.44742268041237,-0.12984176855752594,-0.12814810700092494,-0.13806287178113053,29686.65,5.850000000002183,29653.85,"01/12/2020, 09:15:35",-5.414422680412376
"01/12/2020, 09:15:33",75.84390243902439,80.26049479515785,79.44742268041237,-0.13260136115604837,-0.14088013895161566,-0.13806287178113053,29676.2,-31.350000000002183,29660.2,"01/12/2020, 09:15:36",2.8450812169977393
"01/12/2020, 09:15:34",75.84390243902439,77.97215428557983,80.6,-0.13260136115604837,-0.13260136115604837,-0.1381869681608805,29670.85,-16.05000000000655,29665.6,"01/12/2020, 09:15:37",3.9976585365853605
"01/12/2020, 09:15:35",79.44742268041237,87.3242402668876,78.65,-0.13806287178113053,-0.154447403656377,-0.13604433042928576,29653.85,-51.0,29670.35,"01/12/2020, 09:15:38",-1.591896907216491
"01/12/2020, 09:15:36",79.44742268041237,76.81732497298093,78.7,-0.13806287178113053,-0.13806287178113053,-0.13647167963881657,29660.2,19.05000000000655,29664.6,"01/12/2020, 09:15:39",-0.04705154639175346
"01/12/2020, 09:15:37",80.6,78.35534003173879,78.3,-0.1381869681608805,-0.1385592573001304,-0.13671193598838727,29665.6,16.19999999999345,29655.3,"01/12/2020, 09:15:40",1.493999999999997
"01/12/2020, 09:15:38",78.65,76.80296605440836,80.55,-0.13604433042928576,-0.12961641723450157,-0.1390189191170066,29670.35,14.25,29652.55,"01/12/2020, 09:15:41",-1.1134999999999913
"01/12/2020, 09:15:39",78.7,81.07625179536281,83.19,-0.13647167963881657,-0.13775372726740898,-0.14126423232028174,29664.6,-17.25,29653.2,"01/12/2020, 09:15:42",3.702999999999995
"01/12/2020, 09:15:40",78.3,82.13437247053477,83.19,-0.13671193598838727,-0.13743270503709937,-0.14126423232028174,29655.3,-27.899999999997817,29651.55,"01/12/2020, 09:15:43",4.107
"01/12/2020, 09:15:41",80.55,81.75400391514863,83.86806722689076,-0.1390189191170066,-0.14593986850286456,-0.1417299944023398,29652.55,-8.25,29654.4,"01/12/2020, 09:15:44",2.5125672268907615
"01/12/2020, 09:15:44",83.86806722689076,82.64432897734503,76.85,-0.1417299944023398,-0.143127280648514,-0.13388662573561305,29654.4,8.550000000006548,29677.2,"01/12/2020, 09:15:47",6.179386554621857
"01/12/2020, 09:15:45",83.86806722689076,82.48619978146795,77.3,-0.1417299944023398,-0.1417299944023398,-0.1342284764177748,29657.65,9.75,29678.55,"01/12/2020, 09:15:48",5.729386554621854
"01/12/2020, 09:15:46",80.3,73.68772339541746,78.1,-0.13725384694680542,-0.1238254045802023,-0.13509518557839328,29675.45,53.39999999999782,29676.9,"01/12/2020, 09:15:49",1.397000000000003
"01/12/2020, 09:15:50",77.65,78.97906904089513,73.84830508474576,-0.1348837387013191,-0.1342493980700965,-0.13142220548161276,29673.6,-9.900000000008731,29677.55,"01/12/2020, 09:15:53",-4.578194915254246
"01/12/2020, 09:15:51",77.75,75.95971901413456,73.84830508474576,-0.1346886651845125,-0.13410344463409274,-0.13142220548161276,29678.05,13.350000000002183,29672.15,"01/12/2020, 09:15:54",3.1241949152542396
"01/12/2020, 09:15:52",74.6,75.52411883338172,73.25,-0.13182046000110859,-0.12321584445089684,-0.1305600816522201,29675.55,-7.5,29674.55,"01/12/2020, 09:15:55",-2.0959999999999943
"01/12/2020, 09:15:53",73.84830508474576,73.06694043320701,71.35,-0.13142220548161276,-0.1302274419231253,-0.12853653420279443,29677.55,6.0,29676.65,"01/12/2020, 09:15:56",1.7598220338983086
"01/12/2020, 09:15:54",73.84830508474576,75.97734481354702,72.4,-0.13142220548161276,-0.13142220548161276,-0.12950864786489547,29672.15,-16.19999999999345,29677.85,"01/12/2020, 09:15:57",-2.186788135593212
"01/12/2020, 09:15:55",73.25,72.32858928681974,71.95,-0.1305600816522201,-0.12797371016404213,-0.1289629680059079,29674.55,7.199999999993452,29679.4,"01/12/2020, 09:15:58",0.5674999999999971
"01/12/2020, 09:15:56",71.35,70.57846488131574,72.03048780487805,-0.12853653420279443,-0.1224658918545174,-0.12913437084307589,29676.65,6.300000000006548,29679.05,"01/12/2020, 09:15:59",0.033012195121944754
"01/12/2020, 09:16:02",72.01363636363637,73.06042220753014,71.98630136986301,-0.12923282023393767,-0.12923282023393767,-0.1285193839294152,29674.4,-8.099999999991269,29688.05,"01/12/2020, 09:16:05",-0.747471357409715
"01/12/2020, 09:16:04",71.81776315789475,70.67305034278914,71.95,-0.12934608080286125,-0.12934608080286125,-0.1288087166585683,29678.25,8.850000000002183,29681.85,"01/12/2020, 09:16:07",0.5859407894736901
"01/12/2020, 09:16:05",71.98630136986301,68.28074614657642,72.8,-0.1285193839294152,-0.12603929330907704,-0.1298228684163405,29688.05,29.399999999997817,29679.15,"01/12/2020, 09:16:08",-0.09383561643835292
"01/12/2020, 09:16:07",71.95,74.45924443227092,73.73125,-0.1288087166585683,-0.1296767148460276,-0.13065283302466923,29681.85,-19.350000000002183,29680.8,"01/12/2020, 09:16:10",1.06175
