time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:16",39.59285714285714,40.13349871379127,42.412499999999994,-0.07823834109785821,-0.08211499418848689,29667.65,29674.85,"01/12/2020, 09:15:18",2.423714285714281,    ,-7.963183682305748
"01/12/2020, 09:15:17",42.55,43.31429576754939,42.412499999999994,-0.08264479643003142,-0.08211499418848689,29666.15,29673.45,"01/12/2020, 09:15:19",-0.5630000000000028
"01/12/2020, 09:15:20",44.74024390243902,45.19478313590338,46.55,-0.08608553348494752,-0.08885687905149098,29635.6,29628.6,"01/12/2020, 09:15:22",1.3623536585365879,   ,positive:,13
"01/12/2020, 09:15:21",44.74024390243902,45.48277356459334,45.7,-0.08608553348494752,-0.0879426567507835,29614.3,29626.35,"01/12/2020, 09:15:23",0.5123536585365935,   ,negative:,18
"01/12/2020, 09:15:22",46.55,47.28944092767341,44.5,-0.08885687905149098,-0.08558830647871218,29628.6,29650.2,"01/12/2020, 09:15:24",-2.515499999999997
"01/12/2020, 09:15:23",45.7,46.429729675145495,44.15,-0.0879426567507835,-0.08535633219253214,29626.35,29645.3,"01/12/2020, 09:15:25",-2.007000000000004,   ,EPAP:,9
"01/12/2020, 09:15:27",44.296774193548394,43.786306491493484,42.3,-0.08546970959741884,-0.08193534986276063,29661.8,29677.3,"01/12/2020, 09:15:29",1.553806451612913,   ,EPAL:,9
"01/12/2020, 09:15:29",42.3,41.86268002121228,41.50263157894737,-0.08193534986276063,-0.08072678313055803,29677.3,29684.7,"01/12/2020, 09:15:31",0.3743684210526244,   ,ELAP:,6
"01/12/2020, 09:15:30",41.95,41.43833446573098,41.50263157894737,-0.08106611514904216,-0.08072678313055803,29689.7,29686.65,"01/12/2020, 09:15:32",0.027868421052630044,   ,ELAL:,7
"01/12/2020, 09:16:15",44.425,44.898065169635885,45.0,-0.08546021957727135,-0.08576599182106293,29652.0,29661.15,"01/12/2020, 09:16:17",0.13075000000000286
"01/12/2020, 09:20:45",56.95,57.59547416038541,56.6,-0.1051960850645628,-0.10475296555796376,29525.1,29524.05,"01/12/2020, 09:20:47",-0.9195000000000014
"01/12/2020, 09:20:46",56.6,57.24216238368338,57.0,-0.10475296555796376,-0.10535558212723117,29526.35,29522.95,"01/12/2020, 09:20:48",-0.16600000000000148
"01/12/2020, 09:20:47",56.6,57.240877560189645,56.1,-0.10475296555796376,-0.10400195110378263,29524.05,29530.55,"01/12/2020, 09:20:49",-1.066
"01/12/2020, 09:30:12",48.6,48.10544673412341,48.5,-0.09058886898856144,-0.09051665338120074,29644.75,29643.7,"01/12/2020, 09:30:14",-0.3859999999999986
"01/12/2020, 10:35:44",31.0,30.632741853661557,32.15,-0.06449743981420397,-0.0662803023374181,29769.2,29761.25,"01/12/2020, 10:35:46",-0.8399999999999985
"01/12/2020, 12:28:16",29.55,29.959882247579458,29.8,-0.06293967624060315,-0.06331588660941634,29753.8,29752.85,"01/12/2020, 12:28:18",-0.04550000000000004
"01/12/2020, 12:28:17",29.6,30.020515364429787,29.4,-0.06294456103432822,-0.06261190299028385,29756.15,29758.05,"01/12/2020, 12:28:19",-0.4960000000000029
"01/12/2020, 12:28:18",29.8,30.238321937180988,29.4,-0.06331588660941634,-0.06261190299028385,29752.85,29756.05,"01/12/2020, 12:28:20",-0.6980000000000022
"01/12/2020, 12:28:23",32.8,33.51157737064514,33.2,-0.06927500787696772,-0.0693085619559497,29691.45,29707.85,"01/12/2020, 12:28:25",0.07200000000000573
"01/12/2020, 12:28:24",33.2,33.913866520753466,31.906818181818185,-0.06956803199500428,-0.0675631745764349,29699.5,29710.35,"01/12/2020, 12:28:26",-1.625181818181818
"01/12/2020, 12:28:25",33.2,33.6849338510829,31.906818181818185,-0.0693085619559497,-0.0675631745764349,29707.85,29710.35,"01/12/2020, 12:28:27",-1.625181818181818
"01/12/2020, 12:28:26",31.906818181818185,32.28947548490234,32.94444444444444,-0.0675631745764349,-0.06939120891047423,29710.35,29695.35,"01/12/2020, 12:28:28",0.7185580808080761
"01/12/2020, 13:39:10",23.0,22.72576365275546,23.8,-0.05163674073855873,-0.0526560533103293,29823.7,29832.05,"01/12/2020, 13:39:12",-0.5700000000000007
"01/12/2020, 13:39:11",22.65,22.386531171303922,23.55,-0.05110632430387341,-0.052537664475948986,29823.5,29820.75,"01/12/2020, 13:39:13",-0.6735000000000022
"01/12/2020, 13:39:12",23.8,23.438309205814026,23.55,-0.0526560533103293,-0.052420353870274994,29832.05,29825.9,"01/12/2020, 13:39:14",0.011999999999999983
